INFO 2021-11-22 00:37:36,221 basehttp 161 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2021-11-22 00:37:38,954 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 2884
INFO 2021-11-22 00:38:58,127 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-22 00:39:03,980 basehttp 161 "GET /xadmin/logout/ HTTP/1.1" 200 1521
INFO 2021-11-22 00:39:05,289 basehttp 161 "GET /xadmin/ HTTP/1.1" 302 0
INFO 2021-11-22 00:39:05,310 basehttp 161 "GET /xadmin/login/?next=/xadmin/ HTTP/1.1" 200 2220
INFO 2021-11-22 00:39:11,164 basehttp 161 "POST /xadmin/login/?next=/xadmin/ HTTP/1.1" 302 0
INFO 2021-11-22 00:39:11,184 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 2884
INFO 2021-11-22 00:39:13,213 basehttp 161 "GET /xadmin/auth/group/ HTTP/1.1" 200 4426
INFO 2021-11-22 00:39:13,243 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 8398
INFO 2021-11-22 00:42:36,785 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-22 00:42:44,235 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 13714
INFO 2021-11-22 00:42:44,282 basehttp 161 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 2865
INFO 2021-11-22 00:42:44,286 basehttp 161 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 336
INFO 2021-11-22 00:42:44,287 basehttp 161 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 200 37414
INFO 2021-11-22 00:42:44,287 basehttp 161 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8363
INFO 2021-11-22 00:42:44,292 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2021-11-22 00:42:44,293 basehttp 161 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 145933
INFO 2021-11-22 00:42:44,293 basehttp 161 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 6429
INFO 2021-11-22 00:42:44,295 basehttp 161 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2021-11-22 00:42:44,295 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 200 8195
INFO 2021-11-22 00:42:44,299 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 200 4561
INFO 2021-11-22 00:42:44,304 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 200 42543
INFO 2021-11-22 00:42:44,304 basehttp 161 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 200 3401
INFO 2021-11-22 00:42:44,305 basehttp 161 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 200 4033
INFO 2021-11-22 00:42:44,305 basehttp 161 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 200 3208
INFO 2021-11-22 00:42:44,309 basehttp 161 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 200 280364
INFO 2021-11-22 00:42:44,309 basehttp 161 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 200 75484
INFO 2021-11-22 00:42:44,310 basehttp 161 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 200 1000
INFO 2021-11-22 00:42:44,320 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 9527
INFO 2021-11-22 00:42:44,388 basehttp 161 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
WARNING 2021-11-22 00:42:45,890 log 224 Not Found: /
WARNING 2021-11-22 00:42:45,890 basehttp 161 "GET / HTTP/1.1" 404 2396
INFO 2021-11-22 00:42:54,257 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 13714
INFO 2021-11-22 00:42:54,292 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 9527
INFO 2021-11-22 00:43:13,699 basehttp 161 "GET /xadmin/logout/ HTTP/1.1" 200 2550
INFO 2021-11-22 00:43:13,736 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 4049
INFO 2021-11-22 00:43:15,295 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 4042
INFO 2021-11-22 00:43:15,321 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 4049
INFO 2021-11-22 00:43:19,736 basehttp 161 "POST /xadmin/ HTTP/1.1" 302 0
INFO 2021-11-22 00:43:19,764 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 13714
INFO 2021-11-22 00:43:19,798 basehttp 161 "GET /xadmin/jsi18n/ HTTP/1.1" 200 9527
INFO 2021-11-22 00:47:52,703 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-22 00:52:19,916 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-22 00:53:14,773 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-22 00:54:54,223 autoreload 637 Watching for file changes with StatReloader
INFO 2021-11-22 00:55:04,164 basehttp 161 "GET /xadmin/ HTTP/1.1" 200 13714
INFO 2021-11-22 00:55:04,207 basehttp 161 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,208 basehttp 161 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,208 basehttp 161 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,209 basehttp 161 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,209 basehttp 161 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,213 basehttp 161 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,214 basehttp 161 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,214 basehttp 161 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,218 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 304 0
INFO 2021-11-22 00:55:04,219 basehttp 161 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 304 0
